City,type,room_number,Area,Street,number_in_street,city_area,price,num_of_images,floor_out_of,hasElevator ,hasParking ,hasBars ,hasStorage ,condition ,hasAirCondition ,hasBalcony ,hasMamad ,handicapFriendly ,entranceDate ,furniture ,publishedDays ,description ,
פתח תקווה,דירה,5.5,137,רפאלי שרגא,3,אם המושבות החדשה,3600000,6,קומה 11 מתוך 19,TRUE,FALSE,TRUE,FALSE,שמור,TRUE,FALSE,TRUE,TRUE,גמיש,לא צויין,7,"למכירה 5.5 חדרים ענקית, מרווחת , מוארת , קומה גבוהה (11) נוף פתוח.רחוב שקט. בקרבת מרכז מסחרי בתי ספר וגנים. פינוי גמיש. מתווכים לא להתקשר רצוי לתאם בווסטאפ לפני",
פתח תקווה,דירה,3,84,כצנלסון אהרון,6,נווה גן,2550000,6,קומה 6 מתוך 9,TRUE,FALSE,TRUE,TRUE,שמור,TRUE,FALSE,TRUE,FALSE,מיידי,לא צויין,8,"למכירה מפרטי ברחוב אהרון כצנלסון השקט והמבוקש, דירת 3 חדרים עורפית, מקסימה ומרווחת,ע ם יחידת הורים, שלושה כיווני אוויר ובקרבה למוסדות חינוך, לרכבת הקלה, הקניון הגדול וגישה לכל היציאות מפ""ת",
פתח תקווה,דירה,4,120,הירקונים,17,קרית הרב סלומון,2650000,10,קומה 2 מתוך 7,TRUE,TRUE,TRUE,TRUE,חדש,TRUE,TRUE,TRUE,FALSE,גמיש,חלקי,6,"פריים לוקשיין בשכונת שיפר המאוד מבוקשת!!! למכירה דירת 4 חדרים בנניין פינתי הירקונים/ספיר. שכונה ירוקה ושקטה! קרובה לכל מקום-ציר הרכבת הקלה-מרחק הליכה. יציאות מהעיר, מרחק הליכה עד לתחנת רכבת סגולה ועוד. דירה מרווחת עם כ-100 מ""ר בנוי+ מרפסת שמש ענקית כ-16 מ""ר + מחסן צמוד 5 מ""ר . חניה גדולה, + חידת הורים ומזגן בכל חדר. שווה לבקר!!!קרא עוד",
פתח תקווה,דירה,3.5,110,סלנט שמואל,56,המרכז השקט,2450000,8,קומה 2 מתוך 6,TRUE,FALSE,TRUE,FALSE,משופץ,TRUE,FALSE,TRUE,TRUE,גמיש,חלקי,8,"בפתח תקווה ברחוב שמואל סלנט המבוקש,לא כדאי לפספס!!! כ102 מטר בארנונה פלוס מרפסת. 3.5 חדרים ענקיים קומה 2 מעלית,ממ""ד,מרפסת שמש ומזגנים בכל החדרים,ללא תיוון!!! מתווכים נא לא להתקשר :)",
פתח תקווה,דירה,4.5,120,בן צבי יצחק,28,כפר גנים ב,2720000,9,קומה 3 מתוך 6,TRUE,TRUE,FALSE,FALSE,משופץ,TRUE,TRUE,TRUE,TRUE,גמיש,לא צויין,21,"הדירה משופצת חלקית בטעם טוב , פונה לעורף לכיוון המערב .יש מרפסת שמש של 20 מ""ר , ממ""ד מעלית וחנייהמבחינת אזור - הרחוב שקט ופסטורלי המון גני שעשועים בסביבה במרחקי הליכה. ממש מעבר לכביש יש מכולת שכונתית מעולה .מרכז קניות (מרכז אורון) שיש בו כל מה שצריכים. ועוד נתון חשוב גישה נוחה ליציאה מהעיר (כביש 471 ) ממש כמה דקות ואתם שם.",
פתח תקווה,דירה,4,120,ההסתדרות,2,מרכז העיר,2550000,3,קומה 3 מתוך 6,TRUE,TRUE,TRUE,FALSE,משופץ,TRUE,FALSE,FALSE,TRUE,גמיש,חלקי,8,"במיקום מצוין , דירה ענקית משופצת ויפיפייה, חניה מקורה בטאבו, 3 כיווני אויר, 6 דקות הליכה מהרכבת הקלה , 5 דקות הליכה לשוק, גמיש במחיר.",
פתח תקווה,דירה,4,98,רוטשילד,18,קרול,2640000,5,קומה 6 מתוך 8,TRUE,TRUE,TRUE,FALSE,שמור,TRUE,TRUE,FALSE,FALSE,גמיש,לא צויין,9,"דירה ענקית ומרווחת , קומה 6 כיוון כללי מערב , ללא בניינים גבוהים צמודים , 30 מטר מהרכבת הקלה , שמורה ומסודרת , סלון וחדרים ענקיים , ארונות קיר בחדרים , מטבח שמור כחדש , מזגן בכל חדר , ובסלון , 2 שרותים , 2 מקלחות , מרפסת שרות",
פתח תקווה,דירה,5.5,140,רפאל איתן,1,אם המושבות החדשה,3650000,5,קומה 7 מתוך 24,TRUE,FALSE,TRUE,TRUE,משופץ,TRUE,FALSE,TRUE,FALSE,גמיש,לא צויין,9,"דירה מרווחת מוארת וענקית שמרגישים מהרגע הראשון שנכנסים. מרפסת כ- 20 מטר (ללא בניינים ממול) הדירה מגיעה עם 2 מחסנים:"" אחד צמוד לדירה, ניתן להוריד ולהגדיל סלון ועוד מחסן גלריה כ- 12 מטר. כל הבית עם רשתות וסורגים מטבח משודרג ויוקרתי חימום מים על גז יחידת הורים מפנקת +חדר ארונות בקרבה לגנים, בי""ס, מרכזים מסחריים. נכס מאוד מרשים שלא רואים הרבה באם המושבות",
פתח תקווה,דירה,5,147,גיסין אבשלום,23,נווה גן,3400000,4,קומה 11 מתוך 14,TRUE,TRUE,FALSE,TRUE,חדש,TRUE,TRUE,TRUE,TRUE,מיידי,אין,10,"למכירה דירה חדשה בפרויקט היוקרתי של ""קטה"" נווה גן צפון דירת 5 חד' 129 מ""ר בנוי פלוס 18.5 מ""ר מרפסת , בנויה בסטנדרט בניה גבוה, כולל מחסן צמוד וחניה מקורה, יחידת הורים עם חדר ארונות מזגן מרכזי פלוס יחידה בחדר הורים דירה עם נוף מטורף שווה במיוחד!!!",
פתח תקווה,דירה,4,100,אלוף רחבעם זאבי,,אם המושבות החדשה,2980000,7,קומה 2 מתוך 9,TRUE,TRUE,FALSE,FALSE,חדש,TRUE,TRUE,TRUE,TRUE,01/07/2023,לא צויין,60+,"במיקום הטוב באם המושבות, דירת 4 חדרים מיוחדת בת 100 מ""ר. עם סוויטת הורים, מרפסת שמש פונה עם נוף פתוח ושקט מטבח משודרג עם אי, חלל אירוח מרווח , סוויטת הורים, מיזוג אוויר וחנייה לובי מפואר ואיכותי. בקרבה ליציאות מהשכונה. לפרטים נוספים התקשרו",
פתח תקווה,דירה,3,75,הרב קלישר,27,מחנה יהודה,2100000,4,קומה 2 מתוך 6,TRUE,TRUE,FALSE,FALSE,שמור,TRUE,TRUE,TRUE,FALSE,גמיש,חלקי,10,"2 חניות, דירה שמורה ויפה מלאת אור ברחוב מבוקש מאד ושקט.",
